Time,Country Code,AG.LND.FRST.K2,AG.PRD.LVSK.XD,EG.ELC.RNWX.KH,EG.FEC.RNEW.ZS,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,EN.ATM.CO2E.PC,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG,SP.POP.GROW,SP.POP.TOTL,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
1960,SWE,NaN,NaN,0,NaN,4002.3215495809,2698.79230254537,NaN,16525.3610487407,NaN,NaN,7484656,NaN,5425627,72.49
1960,SWZ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,345065,NaN,13502,3.913
1960,SXM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2646,NaN,2646,100
1960,SYC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3218.66444804365,NaN,NaN,41700,NaN,11540,27.673
1960,SYR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,524.222216252361,NaN,NaN,4610712,NaN,1697065,36.807
1960,TCA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5604,NaN,2672,47.679
1960,TCD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,560.296516138228,NaN,NaN,3028688,NaN,202771,6.695
1960,TGO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,440.911682190913,NaN,NaN,1651367,NaN,166755,10.098
1960,THA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,598.149653168813,NaN,NaN,26596584,NaN,5232080,19.672
1960,TJK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2131992,NaN,707139,33.168
1960,TKM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1602052,NaN,743544,46.412
1960,TLS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,468573,NaN,47284,10.091
1960,TON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67428,NaN,11835,17.552
1960,TTO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4294.41212634705,NaN,NaN,847063,NaN,289314,34.155
1960,TUN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4195467,NaN,1573762,37.511
